seed,n_knapsacks,n_items,alpha,branching_rule,node_selection,best_solution,best_bound,runtime,depth,number_of_left_turns,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
0,2,5,0.5,critical_element,greatest_upper_bound,33,34.714285714285715,0.00022149085998535156,1,0,2,True,2,33.0,0.0
0,2,5,0.5,profit_per_weight_ratio,greatest_upper_bound,33,34.714285714285715,0.0001964569091796875,1,0,2,True,2,33.0,0.0
0,2,5,0.5,kolasar_rule,greatest_upper_bound,29,34.714285714285715,0.0001995563507080078,1,0,2,True,2,33.0,0.12121212121212122
0,2,5,0.5,critical_element,depth_first,33,34.714285714285715,0.00020074844360351562,1,0,2,True,2,33.0,0.0
0,2,5,0.5,profit_per_weight_ratio,depth_first,33,34.714285714285715,0.00020170211791992188,1,0,2,True,2,33.0,0.0
0,2,5,0.5,kolasar_rule,depth_first,29,34.714285714285715,0.00019860267639160156,1,0,2,True,2,33.0,0.12121212121212122
0,2,5,0.5,critical_element,breadth_first,33,34.714285714285715,0.00019311904907226562,1,0,2,True,2,33.0,0.0
0,2,5,0.5,profit_per_weight_ratio,breadth_first,33,34.714285714285715,0.00019359588623046875,1,0,2,True,2,33.0,0.0
0,2,5,0.5,kolasar_rule,breadth_first,29,34.714285714285715,0.00019693374633789062,1,0,2,True,2,33.0,0.12121212121212122
0,2,5,0.8,critical_element,greatest_upper_bound,33,34.714285714285715,0.0001919269561767578,1,0,2,True,2,33.0,0.0
0,2,5,0.8,profit_per_weight_ratio,greatest_upper_bound,33,34.714285714285715,0.00020313262939453125,1,0,2,True,2,33.0,0.0
0,2,5,0.8,kolasar_rule,greatest_upper_bound,29,34.714285714285715,0.0001971721649169922,1,0,2,True,2,33.0,0.12121212121212122
0,2,5,0.8,critical_element,depth_first,33,34.714285714285715,0.00019168853759765625,1,0,2,True,2,33.0,0.0
0,2,5,0.8,profit_per_weight_ratio,depth_first,33,34.714285714285715,0.00019359588623046875,1,0,2,True,2,33.0,0.0
0,2,5,0.8,kolasar_rule,depth_first,29,34.714285714285715,0.0002048015594482422,1,0,2,True,2,33.0,0.12121212121212122
0,2,5,0.8,critical_element,breadth_first,33,34.714285714285715,0.00019431114196777344,1,0,2,True,2,33.0,0.0
0,2,5,0.8,profit_per_weight_ratio,breadth_first,33,34.714285714285715,0.00019240379333496094,1,0,2,True,2,33.0,0.0
0,2,5,0.8,kolasar_rule,breadth_first,29,34.714285714285715,0.00019693374633789062,1,0,2,True,2,33.0,0.12121212121212122
0,2,5,0.95,critical_element,greatest_upper_bound,33,34.714285714285715,0.00020051002502441406,1,0,2,True,2,33.0,0.0
0,2,5,0.95,profit_per_weight_ratio,greatest_upper_bound,33,34.714285714285715,0.0001919269561767578,1,0,2,True,2,33.0,0.0
0,2,5,0.95,kolasar_rule,greatest_upper_bound,33,34.714285714285715,0.0002639293670654297,2,1,3,True,3,33.0,0.0
0,2,5,0.95,critical_element,depth_first,33,34.714285714285715,0.0001926422119140625,1,0,2,True,2,33.0,0.0
0,2,5,0.95,profit_per_weight_ratio,depth_first,33,34.714285714285715,0.0001926422119140625,1,0,2,True,2,33.0,0.0
0,2,5,0.95,kolasar_rule,depth_first,33,34.714285714285715,0.0002727508544921875,2,1,3,True,3,33.0,0.0
0,2,5,0.95,critical_element,breadth_first,33,34.714285714285715,0.00019097328186035156,1,0,2,True,2,33.0,0.0
0,2,5,0.95,profit_per_weight_ratio,breadth_first,33,34.714285714285715,0.0001914501190185547,1,0,2,True,2,33.0,0.0
0,2,5,0.95,kolasar_rule,breadth_first,33,34.714285714285715,0.0002617835998535156,2,1,3,True,3,33.0,0.0
0,2,5,0.97,critical_element,greatest_upper_bound,33,33.0,0.00028634071350097656,2,1,4,True,2,33.0,0.0
0,2,5,0.97,profit_per_weight_ratio,greatest_upper_bound,33,33.0,0.0002830028533935547,2,1,4,True,2,33.0,0.0
0,2,5,0.97,kolasar_rule,greatest_upper_bound,33,33.0,0.0003254413604736328,2,1,4,True,3,33.0,0.0
0,2,5,0.97,critical_element,depth_first,33,33.0,0.00028133392333984375,2,1,4,True,2,33.0,0.0
0,2,5,0.97,profit_per_weight_ratio,depth_first,33,33.0,0.00028395652770996094,2,1,4,True,2,33.0,0.0
0,2,5,0.97,kolasar_rule,depth_first,33,33.0,0.00034046173095703125,4,2,5,True,3,33.0,0.0
0,2,5,0.97,critical_element,breadth_first,33,33.0,0.00028133392333984375,2,1,4,True,2,33.0,0.0
0,2,5,0.97,profit_per_weight_ratio,breadth_first,33,33.0,0.00028204917907714844,2,1,4,True,2,33.0,0.0
0,2,5,0.97,kolasar_rule,breadth_first,33,33.0,0.00031638145446777344,2,1,4,True,3,33.0,0.0
1,2,5,0.5,critical_element,greatest_upper_bound,21,21.0,0.00011277198791503906,2,0,2,True,2,21.0,0.0
1,2,5,0.5,profit_per_weight_ratio,greatest_upper_bound,21,21.0,0.00011205673217773438,2,0,2,True,2,21.0,0.0
1,2,5,0.5,kolasar_rule,greatest_upper_bound,21,25.0,0.0001685619354248047,2,0,2,True,2,21.0,0.0
1,2,5,0.5,critical_element,depth_first,21,21.0,0.00011038780212402344,2,0,2,True,2,21.0,0.0
